ITEM #  LEVEL    PART NUMBER       DESCRIPTION                                   #USED
255     ...4     5370-12272-00     ic LM339 quad comp                                0
256     ...4     5010-12928-00     res 270 ohm 2W 5%                                 0
257     ...4     5791-10862-12     12h str sq pin.156                                0
258     ...4     5791-10862-09     9h str sq pin .156                                0
259     ...4     5791-10862-05     5h str sq pin .156                                0
260     .2       A-20842           shooter lane sw & brkt assy                       1
261     ..3      01-14004          brkt-shooter switch                               1
262     ..3      01-15218          plate-switch protector                            1
263     ..3      4002-01105-07     ms 2-56x7/16 p-ph-s                               2
264     ..3      5070-09054-00     diode-1N4004 1.0a                                 1
265     ..3      5647-12693-32     switch sub mini micro                             1
266     ..3      H-21778-4         gen sw 2 pin cable w/ty wraps                     1
267     ...4     5791-10772-00     2P11625 03-06-2023                                1
268     ...4     5820-09078-00     pm1560 02-06-2101                                 2
269     ...4     03-7520-2         tie wrap-nylon 3 7/8                              1
270     ...4     CW-30022-5        wire 22awg green                                  4
271     ...4     CW-30022-9        wire 22awg white                                  4
272     .2       A-21388-50069     plfd & tee nut assy                               1
273     ..3      36-50069          scrn plfd rtd w/hrdct-star war                    1
274     ...4     03-10016-2        playfield mylar                                   0
275     ...4     03-10016-3        playfield mylar                                   0
276     ..3      4408-01118-02     nut 8-32 tee 9/32l                               34
277     .2       A-21829-1         eject assy                                        2
278     ..3      04-10932.1        plunger assy                                      2
279     ..3      01-14704          brkt-eject                                        2
280     ..3      01-15218          plate-switch protector                            2
281     ..3      01-15328          insulator-bulb and socket                         2
282     ..3      03-9101-9         shield-eject trp red                              2
283     ..3      10-135            spring-plunger                                    2
284     ..3      23-6420           grommet                                           2
285     ..3      A-20507           socket & bulb w/diode                             2
286     ...4     04-10254          socket & bulb assy                                2
287     ...4     5070-09054-00     diode-1N4004 1.0a                                 2
288     ..3      03-7067-5         tubing-coil                                       2
289     ..3      AE1-27-1200       coil assy                                         2
290     ...4     16-8943-33        coil tape 1 3/8 wide                              0
291     ...4     A-22592           small bobbin assy                                 0
292     ....5    03-7041-1         bobbin                                            0
293     ....5    01-14673-1        terminal-coil                                     0
294     ....5    07-6688-17        rivet 5/32X1/8                                    0
295     ....5    01-15016          terminal-coil .25                                 0
296     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
297     ..3      04-10910-1        brkt-5/8 coil centering                           4
298     ..3      4408-01119-01     nut 8-32 esna/ntm                                 8
299     ..3      5647-12693-66     switch-sub mini micro                             2
300     ..3      5070-09054-00     diode-1N4004 1.0a                                 2
301     ..3      03-9454           "cable tie 4"" long"                              4
302     ..3      4008-01003-03     ms 8-32 x 3/16 p-ph-s                             2
303     ..3      07-6688-20N       rivet 1/4X1/8 nickel                              4
304     ..3      4002-01105-07     ms 2-56x7/16 p-ph-s                               4
305     ..3      H-23294           eject sw/lmp cbl                                  2
306     ...4     03-7520-2         tie wrap-nylon 3 7/8                              2
307     ...4     5791-10772-00     2P11625 03-06-2023                                2
308     ...4     5791-13776-02     conn-plug minifit jr free hang                    2
309     ...4     5820-09078-00     pm1560 02-06-2101                                 4
310     ...4     5820-13730-02     pin-mini fit jr 18-22awg                          4
311     ...4     CW-30022-1        wire 22awg brown                                 16
312     ...4     CW-30022-4        wire 22awg yellow                                16
313     ...4     CW-30022-5        wire 22awg green                                 16
314     ...4     CW-30022-9        wire 22awg white                                 16
315     .2       A-22206-7         coil & brkt right AE1-27-1200                     1
316     ..3      A-17808           brkt & stop                                       1
317     ..3      01-8-508-S        brkt coil retainer                                1
318     ..3      AE1-27-1200       coil assy                                         1
319     ...4     16-8943-33        coil tape 1 3/8 wide                              0
320     ...4     A-22592           small bobbin assy                                 0
321     ....5    03-7041-1         bobbin                                            0
322     ....5    01-14673-1        terminal-coil                                     0
323     ....5    07-6688-17        rivet 5/32X1/8                                    0
324     ....5    01-15016          terminal-coil .25                                 0
325     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
326     ..3      03-7066           tubing-coil                                       1
327     ..3      4006-01003-06     ms 6-32X3/8 p-ph-s                                2
328     ..3      4406-01119-00     nut 6-32 esn                                      2
329     .2       A-22207-7         coil & brkt left AE1-27-1200                      1
330     ..3      A-17808           brkt & stop                                       1
331     ..3      01-8-508-S        brkt coil retainer                                1
332     ..3      AE1-27-1200       coil assy                                         1
333     ...4     16-8943-33        coil tape 1 3/8 wide                              0
334     ...4     A-22592           small bobbin assy                                 0
335     ....5    03-7041-1         bobbin                                            0
336     ....5    01-14673-1        terminal-coil                                     0
337     ....5    07-6688-17        rivet 5/32X1/8                                    0
338     ....5    01-15016          terminal-coil .25                                 0
339     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
340     ..3      03-7066           tubing-coil                                       1
341     ..3      4006-01003-06     ms 6-32X3/8 p-ph-s                                2
342     ..3      4406-01119-00     nut 6-32 esn                                      2
343     .2       A-22205-4         jet coil & brkt assy                              3
344     ..3      AE1-26-1200       coil assy                                         3
345     ...4     16-8943-30        coil tape 1 3/8 wide                              0
346     ...4     A-22592           small bobbin assy                                 0
347     ....5    03-7041-1         bobbin                                            0
348     ....5    01-14673-1        terminal-coil                                     0
349     ....5    07-6688-17        rivet 5/32X1/8                                    0
350     ....5    01-15016          terminal-coil .25                                 0
351     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
352     ..3      04-10888          brkt-jet bumper stop                              3
353     ..3      01-1747           brkt coil retainer                                3
354     ..3      01-5492           link-armature                                     3
355     ..3      01-5493           link-armature                                     3
356     ..3      02-3406-1         plunger coil                                      3
357     ..3      03-7066           tubing-coil                                       3
358     ..3      10-326            spring-jet bumper                                 3
