ITEM #  LEVEL    PART NUMBER       DESCRIPTION                                   #USED
185     ..3      5070-09054-00     diode-1N4004 1.0a                                 7
186     .2       A-17838-1         stud plate 8-32                                   1
187     .2       A-17983           socket & #89 bulb assy                            3
188     .2       A-18018-21        sta tgt-fr mtg95 sq skt n/foam                    3
189     ..3      A-11175           bld & contact assy                                3
190     ...4     06-1-14           blade-contact                                     3
191     ...4     5860-09374-00     cp prec met 7309fs                                3
192     ..3      A-8378            blade & contact assy                              3
193     ...4     06-13G-14         blade-contact                                     3
194     ...4     5860-09374-00     cp prec met 7309fs                                3
195     ..3      01-12346          brkt switch mtg 95degree red                      3
196     ..3      01-8657-1         stop-switch limit                                 3
197     ..3      01-916-H          "spacer- 3/32"""                                  3
198     ..3      01-916-S          "spacer-tight 1/16"""                             6
199     ..3      01-916-T          "spacer- 1/32"""                                  3
200     ..3      01-3670           plate-switch curved                               3
201     ..3      03-7007-6         "tubing-3/8"""                                    6
202     ..3      03-8304-21        tgt sq skirt stat-trl green                       3
203     ..3      06-20-20          blade-back up                                     6
204     ..3      06-73-2           blade-insulator                                   3
205     ..3      07-6688-27        rivet 9/16X1/8                                    6
206     ..3      07-6697-4         rivet .125X.187x.218 zinc                         3
207     ..3      4700-00003-00     fw .125X.281X.032                                 3
208     ..3      5070-09054-00     diode-1N4004 1.0a                                 3
209     ..3      06-1F-14          blade-contact                                     6
210     .2       A-18019-11        sta tgt-frt mtg95-sq skt-tr gr                    1
211     ..3      A-11175           bld & contact assy                                1
212     ...4     06-1-14           blade-contact                                     1
213     ...4     5860-09374-00     cp prec met 7309fs                                1
214     ..3      A-8378            blade & contact assy                              1
215     ...4     06-13G-14         blade-contact                                     1
216     ...4     5860-09374-00     cp prec met 7309fs                                1
217     ..3      01-12346          brkt switch mtg 95degree red                      1
218     ..3      01-8657-1         stop-switch limit                                 1
219     ..3      01-916-H          "spacer- 3/32"""                                  1
220     ..3      01-916-S          "spacer-tight 1/16"""                             2
221     ..3      01-916-T          "spacer- 1/32"""                                  1
222     ..3      01-3670           plate-switch curved                               1
223     ..3      03-7007-6         "tubing-3/8"""                                    2
224     ..3      03-8304-11        tgt sq skirt stat-tr green                        1
225     ..3      06-20-20          blade-back up                                     2
226     ..3      06-73-2           blade-insulator                                   1
227     ..3      07-6688-27        rivet 9/16X1/8                                    2
228     ..3      07-6697-4         rivet .125X.187x.218 zinc                         1
229     ..3      4700-00003-00     fw .125X.281X.032                                 1
230     ..3      23-6652           rubber edge protector                             1
231     ..3      5070-09054-00     diode-1N4004 1.0a                                 1
232     ..3      06-1F-14          blade-contact                                     2
233     .2       A-18060-4         stat tgt frt mtg95 square-red                     2
234     ..3      A-11175           bld & contact assy                                2
235     ...4     06-1-14           blade-contact                                     2
236     ...4     5860-09374-00     cp prec met 7309fs                                2
237     ..3      03-7264-4         tgt square-op red                                 2
238     ..3      01-916-H          "spacer- 3/32"""                                  2
239     ..3      01-916-T          "spacer- 1/32"""                                  2
240     ..3      01-916-S          "spacer-tight 1/16"""                             4
241     ..3      06-1F-14          blade-contact                                     4
242     ..3      06-20-20          blade-back up                                     4
243     ..3      01-8657           brkt stop                                         2
244     ..3      01-3670           plate-switch curved                               2
245     ..3      23-6684-2         rubber protector-target                           2
246     ..3      03-7007-6         "tubing-3/8"""                                    4
247     ..3      01-12346          brkt switch mtg 95degree red                      2
248     ..3      07-6697-4         rivet .125X.187x.218 zinc                         2
249     ..3      A-8378            blade & contact assy                              2
250     ...4     06-13G-14         blade-contact                                     2
251     ...4     5860-09374-00     cp prec met 7309fs                                2
252     ..3      4700-00003-00     fw .125X.281X.032                                 2
253     ..3      07-6688-27        rivet 9/16X1/8                                    4
254     ..3      5070-09054-00     diode-1N4004 1.0a                                 2
255     ..3      06-73-2           blade-insulator                                   2
256     .2       A-18530-4         stat tgt frt mtg95-oblg op-red                    1
257     ..3      SW-1A-178-4       switch-oblong target                              1
258     ...4     A-11175           bld & contact assy                                1
259     ....5    06-1-14           blade-contact                                     1
260     ....5    5860-09374-00     cp prec met 7309fs                                1
261     ...4     B-12582-4         blade & target assy                               1
262     ....5    A-12581           blade & cntact assy                               1
263     .....6   06-13H-14         blade-contact                                     1
264     .....6   5860-09374-00     cp prec met 7309fs                                1
265     ....5    03-8225-4         tgt oblong stat-op red                            1
266     ....5    07-6697-4         rivet .125X.187x.218 zinc                         1
267     ....5    4700-00003-00     fw .125X.281X.032                                 1
268     ...4     01-916-H          "spacer- 3/32"""                                  1
269     ...4     01-916-S          "spacer-tight 1/16"""                             2
270     ...4     01-916-T          "spacer- 1/32"""                                  1
271     ...4     03-7007-6         "tubing-3/8"""                                    2
272     ...4     06-1F-14          blade-contact                                     2
273     ...4     06-20-20          blade-back up                                     2
274     ...4     06-73-2           blade-insulator                                   1
275     ..3      01-3670           plate-switch curved                               1
276     ..3      01-12346          brkt switch mtg 95degree red                      1
277     ..3      01-8657           brkt stop                                         1
278     ..3      07-6688-27        rivet 9/16X1/8                                    2
279     ..3      23-6534-9         rubber protector 3/8                              1
280     ..3      5070-09054-00     diode-1N4004 1.0a                                 1
281     .2       A-18973           shooter lane switch assy                          1
282     ..3      01-12356-1        brkt-switch mtg (yellow)                          1
283     ..3      01-15218          plate-switch protector                            1
284     ..3      4002-01105-07     ms 2-56x7/16 p-ph-s                               2
285     ..3      5070-09054-00     diode-1N4004 1.0a                                 1
286     ..3      5647-12693-32     switch sub mini micro                             1
287     .2       A-19001           ball gate special assy                            1
288     ..3      01-12347.1        brkt-ball gate                                    1
289     ...4     01-12347.2        brkt-ball gate                                    1
290     ..3      01-13180          brkt-ball gate                                    1
291     ..3      12-6882-1         wire hinge pin 1 3/4                              1
292     ..3      12-6657.1-L       gate-left ball wire                               1
293     .2       A-19963-4         ball trough assy-comp                             1
294     ..3      A-16809-2         ball trough welded assy                           1
295     ..3      01-11587          trough-ball front                                 1
296     ..3      A-6306-2          bell armature assy                                1
297     ..3      AE1-26-1500       coil assy                                         1
298     ...4     16-8943-32        coil tape 1 3/8 wide                              0
299     ...4     A-22592           small bobbin assy                                 0
300     ....5    03-7041-1         bobbin                                            0
301     ....5    01-14673-1        terminal-coil                                     0
302     ....5    07-6688-17        rivet 5/32X1/8                                    0
303     ....5    01-15016          terminal-coil .25                                 0
304     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
305     ..3      01-8-508-T        brkt coil retainer                                1
306     ..3      03-7067-5         tubing-coil                                       1
307     ..3      10-135            spring-plunger                                    1
308     ..3      23-6420           grommet                                           1
309     ..3      03-8523           insulator                                         1
310     ..3      01-11586          brkt coil mtg                                     1
311     ..3      4008-01227-05     ms 8-32 X 5/16 pin head-sems                      6
312     ..3      4408-01119-00     nut 8-32 esn                                      4
313     ..3      23-6702           pad-bumper plug                                   1
314     ..3      4006-01003-10     ms 6-32x5/8 p-ph-s                                6
315     ..3      23-6626           grommet                                           6
316     ..3      4700-00004-00     fw .146X.375X.032                                 6
317     ..3      02-4975           bushing                                           6
318     ..3      A-18617-1         trough 5 ired led pcb assy                        1
319     ...4     5768-14121-02     pcb ball trough led                               0
320     ...4     5671-12731-00     led diode infra red                               0
321     ...4     5791-12622-09     9h r/a lck hdr .100 solid tab                     0
322     ..3      A-18618-1         trough 5 ired trans pcb assy                      1
323     ...4     5768-14122-02     pcb ball trough opto                              0
324     ...4     5163-14114-00     trans-photo infra red T1&3/4                      0
325     ...4     5791-12622-09     9h r/a lck hdr .100 solid tab                     0
326     .2       A-20246           10 opto pcb assy w/brkts                          1
327     ..3      01-10756          brkt pcb mtg                                      2
328     ..3      07-6688-18N       rivet 3/16X1/8 nickel                             4
329     ..3      A-18159.1         10 opto pcb assy                                  1
330     ...4     A-18159.1-AI      10 opto pcb assy                                  0
331     ....5    5768-14075-01     pcb-10 opto                                       0
332     ....5    5043-08996-00     cap 0.1UF 50v +/-20 axial Z5U                     0
333     ....5    5070-09054-00     diode-1N4004 1.0a                                 0
334     ....5    5010-09999-00     res 2K 1/4 W 5%                                   0
335     ....5    5010-09162-00     res 100k 1/4w 5%                                  0
336     ....5    5010-08774-00     res 22K 1/4W 5%                                   0
337     ....5    5010-08776-00     res 68k 1/4w 5%                                   0
338     ...4     5040-10974-00     cap 100M 35V radial                               0
339     ...4     5671-13732-00     led dspl red                                      0
340     ...4     5370-12272-00     ic LM339 quad comp                                0
341     ...4     5010-12928-00     res 270 ohm 2W 5%                                 0
342     ...4     5791-10862-12     12h str sq pin.156                                0
343     ...4     5791-10862-09     9h str sq pin .156                                0
344     ...4     5791-10862-05     5h str sq pin .156                                0
345     .2       A-20680-1         3 ball popper assy                                1
346     ..3      04-10322-2        brkt-coil                                         2
347     ..3      04-10323          3 ball popper frame                               1
348     ..3      4106-01152-08     sms #6x1/2 tfp-flh                                1
349     ..3      03-8561           cup-ball popper                                   1
350     ..3      AE1-23-800        coil assy                                         1
351     ...4     16-8943-27        coil tape 1 3/8 wide                              0
352     ...4     A-22592           small bobbin assy                                 0
353     ....5    03-7041-1         bobbin                                            0
354     ....5    01-14673-1        terminal-coil                                     0
355     ....5    07-6688-17        rivet 5/32X1/8                                    0
356     ....5    01-15016          terminal-coil .25                                 0
357     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
358     ..3      4106-01013-06     sms #6 x 3/8 p-ph t-25                            4
359     ..3      04-10291          armature & extension assy                         1
360     ..3      03-7067           tubing-coil                                       1
361     ..3      10-135            spring-plunger                                    1
362     ..3      4408-01119-01     nut 8-32 esna/ntm                                 4
363     ..3      23-6420           grommet                                           1
364     ..3      A-16908           opto led assy                                     1
365     ...4     03-8506-1         base-opto mtg-white                               1
366     ...4     4104-01001-06     sms #4X3/8 p-ph-a                                 1
367     ...4     A-14231           led assy                                          1
368     ....5    5671-12731-00     led diode infra red                               0
369     ....5    5768-13155-02     pcb-single IR LED (green mask)                    0
370     ..3      A-16909           opto p/t assy                                     1
371     ...4     03-8506           base-opto mtg-black                               1
372     ...4     4104-01001-06     sms #4X3/8 p-ph-a                                 1
373     ...4     A-14232           photo trans assy                                  1
374     ....5    5768-13154-04     pcb-phot trans                                    0
375     ....5    5163-12732-00     trans npn photo                                   0
376     .....6   5163-14114-00     trans-photo infra red T1&3/4                      0
377     ..3      H-23022-5         general opto square 4 pin cbl                     1
378     ...4     5791-13776-04     4 pin mimifit jr male                             1
379     ...4     5820-13730-02     pin-mini fit jr 18-22awg                          4
380     ...4     CW-30022-84       wire 22awg gry/yel                                5
381     ...4     CW-30022-3        wire 22awg orange                                 5
382     ...4     CW-30022-0        wire 22awg black                                  5
383     ...4     CW-30022-8        wire 22awg gray                                   5
384     ...4     03-7520-2         tie wrap-nylon 3 7/8                              3
385     .2       A-20846-4         sta tgt frnt mtg 95-trp red                       1
386     ..3      01-12346          brkt switch mtg 95degree red                      1
387     ..3      01-916-S          "spacer-tight 1/16"""                             2
388     ..3      06-20-20          blade-back up                                     2
389     ..3      06-1F-14          blade-contact                                     3
390     ..3      A-8378            blade & contact assy                              1
391     ...4     06-13G-14         blade-contact                                     1
392     ...4     5860-09374-00     cp prec met 7309fs                                1
393     ..3      01-916-H          "spacer- 3/32"""                                  1
394     ..3      A-18381           blade & contact assy                              1
395     ...4     5860-09374-00     cp prec met 7309fs                                1
396     ...4     06-1A-8           blade-contact short                               1
397     ..3      06-73-2           blade-insulator                                   1
398     ..3      01-8657-1         stop-switch limit                                 1
399     ..3      01-3670           plate-switch curved                               1
400     ..3      07-6688-27        rivet 9/16X1/8                                    2
401     ..3      4700-00003-00     fw .125X.281X.032                                 1
402     ..3      03-9296-4         tgt-rect skirt stat-opq red                       1
403     ..3      07-6697-4         rivet .125X.187x.218 zinc                         1
404     ..3      5070-09054-00     diode-1N4004 1.0a                                 1
405     ..3      03-7007-5A        "tubing-11/32"""                                  2
406     .2       A-21388-50070     plfd & tee nut assy                               1
407     ..3      36-50070D         scrn plfd rtd w/hrdct-revenge                     1
408     ...4     03-10019-4        mylar-plfd-50070                                  0
409     ...4     03-10019-3        mylar-plfd 50070                                  0
410     ...4     03-10019-2        mylar-plfd 50070                                  0
411     ..3      4408-01118-02     nut 8-32 tee 9/32l                               80
412     .2       A-21576-21        sta tgt bck mtg85 sq skt-grn                      3
413     ..3      01-12346-2        brkt-switch mtg 85degree-black                    3
414     ..3      01-916-S          "spacer-tight 1/16"""                             6
415     ..3      06-20-20          blade-back up                                     6
416     ..3      06-1F-14          blade-contact                                     9
417     ..3      A-8378            blade & contact assy                              3
418     ...4     06-13G-14         blade-contact                                     3
419     ...4     5860-09374-00     cp prec met 7309fs                                3
420     ..3      01-916-H          "spacer- 3/32"""                                  3
421     ..3      A-18381           blade & contact assy                              3
422     ...4     5860-09374-00     cp prec met 7309fs                                3
