ITEM #  LEVEL    PART NUMBER       DESCRIPTION                                   #USED
1034    ..3      5792-13355-02     conn-female wire mnt 0.165 ctr                    1
1035    ..3      5820-13730-02     pin-mini fit jr 18-22awg                         16
1036    ..3      5821-09079-00     pf1561 02-06-1101                                 6
1037    ..3      5821-13771-02     socket-female minifit BMI                         2
1038    ..3      5823-10820-00     "plz key mt .156"""                               1
1039    ..3      RM-35-4           label color code pink                             1
1040    ..3      CW-30022-41       wire 22awg yel/brn                               61
1041    ..3      CW-30022-42       wire 22awg yel/red                              117
1042    ..3      CW-30022-43       wire 22awg yel/org                              129
1043    ..3      CW-30022-40       wire 22awg yel/blk                              113
1044    ..3      CW-30022-45       wire 22awg yel/grn                              118
1045    ..3      CW-30022-46       wire 22awg yel/blu                              186
1046    ..3      CW-30022-47       wire 22awg yel/vio                              132
1047    ..3      CW-30022-48       wire 22awg yel/gry                              171
1048    ..3      CW-30022-10       wire 22awg brn/blk                              116
1049    ..3      CW-30022-12       wire 22awg brn/red                              125
1050    ..3      CW-30022-13       wire 22awg brn/org                              114
1051    ..3      CW-30022-15       wire 22awg brn/grn                              196
1052    ..3      CW-30022-16       wire 22awg brn/blu                              191
1053    ..3      CW-30022-17       wire 22awg brn/vio                              184
1054    ..3      CW-30022-18       wire 22awg brn/gry                              173
1055    ..3      CW-30022-14       wire 22awg brn/yel                              114
1056    .2       H-22972-2.1       playfield lamp cable-50070                        1
1057    ..3      03-7520-2         tie wrap-nylon 3 7/8                             28
1058    ..3      5791-13720-18     connector 18p mini fit jr                         1
1059    ..3      5792-10775-00     4R2004 03-06-1044                                 2
1060    ..3      5792-10847-05     5r mt/thru 22/156                                 2
1061    ..3      5792-10847-06     6r mt/thru 22/156                                 2
1062    ..3      5792-10847-12     12r mt/thru 22/156                                1
1063    ..3      5820-13730-02     pin-mini fit jr 18-22awg                         16
1064    ..3      5823-10820-00     "plz key mt .156"""                               5
1065    ..3      5821-09079-00     pf1561 02-06-1101                                 4
1066    ..3      RM-35-4           label color code pink                             1
1067    ..3      CW-30022-21       wire 22awg red/brn                              168
1068    ..3      CW-30022-20       wire 22awg red/blk                               85
1069    ..3      CW-30022-23       wire 22awg red/org                              113
1070    ..3      CW-30022-24       wire 22awg red/yel                              138
1071    ..3      CW-30022-25       wire 22awg red/grn                              126
1072    ..3      CW-30022-26       wire 22awg red/blu                              135
1073    ..3      CW-30022-27       wire 22awg red/vio                              131
1074    ..3      CW-30022-28       wire 22awg red/gry                              174
1075    ..3      CW-30022-41       wire 22awg yel/brn                               69
1076    ..3      CW-30022-42       wire 22awg yel/red                              117
1077    ..3      CW-30022-43       wire 22awg yel/org                               48
1078    ..3      CW-30022-40       wire 22awg yel/blk                               48
1079    ..3      CW-30022-45       wire 22awg yel/grn                               70
1080    ..3      CW-30022-46       wire 22awg yel/blu                              104
1081    ..3      CW-30022-47       wire 22awg yel/vio                               67
1082    ..3      CW-30022-48       wire 22awg yel/gry                               11
1083    .2       H-22973.3         plfd solenoid cable-50070                         1
1084    ..3      5791-13720-20     connector 20p mini fit jr                         1
1085    ..3      5791-13720-24     conn-24 pin mini fit jr                           1
1086    ..3      5792-10773-00     2R11625 03-06-1023                                2
1087    ..3      5822-16084-00     term 12-18 tab .250  unshield                     9
1088    ..3      5822-16085-00     term 16-22 tab .250 unshield                      8
1089    ..3      5822-16197-00     term 16-22awg.187x.032 unshld                    21
1090    ..3      03-7520-2         tie wrap-nylon 3 7/8                             34
1091    ..3      5792-12561-00     2P 1545-2 03-09-1022                              3
1092    ..3      5792-13224-15     .084 cap housing 15 pin                           1
1093    ..3      5821-09079-00     pf1561 02-06-1101                                 4
1094    ..3      5820-13730-02     pin-mini fit jr 18-22awg                         31
1095    ..3      5821-09081-00     pf1189 02-09-1101                                 6
1096    ..3      5821-13222-00     .084 female socket pin 14-20ga                    9
1097    ..3      RM-35-4           label color code pink                             1
1098    ..3      16-9086           label-cable id                                    4
1099    ..3      HW-30018-35       wire 18awg org/grn                               49
1100    ..3      HW-30018-45       wire 18awg yel/grn                               49
1101    ..3      HW-30018-25       wire 18awg red/grn                               50
1102    ..3      HW-30018-36       wire 18awg org/blu                               52
1103    ..3      HW-30018-46       wire 18awg yel/blu                               52
1104    ..3      HW-30018-26       wire 18awg red/blu                               52
1105    ..3      HW-30018-37       wire 18awg org/vio                               11
1106    ..3      HW-30018-47       wire 18awg yel/vio                               11
1107    ..3      HW-30018-27       wire 18awg red/vio                               11
1108    ..3      HW-30018-38       wire 18awg org/gry                               20
1109    ..3      HW-30018-28       wire 18awg red/gry                               20
1110    ..3      HW-30018-71       wire 18awg vio/brn                               28
1111    ..3      HW-30018-48       wire 18awg yel/gry                               20
1112    ..3      HW-30018-72       wire 18awg vio/red                               24
1113    ..3      HW-30018-73       wire 18awg vio/org                               24
1114    ..3      HW-30018-74       wire 18awg vio/yel                                8
1115    ..3      HW-30018-75       wire 18awg vio/grn                               12
1116    ..3      HW-30018-76       wire 18awg vio/blu                               18
1117    ..3      HW-30018-70       wire 18awg vio/blk                               21
1118    ..3      HW-30018-78       wire 18awg vio/grey                              16
1119    ..3      HW-30018-10       wire 18awg brn/blk                               50
1120    ..3      HW-30018-12       wire 18awg brn/red                               43
1121    ..3      HW-30018-13       wire 18awg brn/org                               51
1122    ..3      HW-30018-14       wire 18awg brn/yel                               15
1123    ..3      HW-30018-15       wire 18awg brn/grn                               20
1124    ..3      HW-30018-16       wire 18awg brn/blu                               21
1125    ..3      HW-30018-17       wire 18awg brn/vio                               48
1126    ..3      HW-30018-18       wire 18awg brn/gry                               15
1127    ..3      HW-30018-61       wire 18awg blu/brn                               30
1128    ..3      HW-30018-60       wire 18awg blu/blk                               22
1129    ..3      HW-30018-67       wire 18awg blu/vio                               48
1130    ..3      HW-30018-01       wire 18awg blk/brn                               53
1131    ..3      HW-30018-02       wire 18awg blk/red                               34
1132    ..3      HW-30018-03       wire 18awg blk/org                               28
1133    ..3      HW-30018-04       wire 18awg blk/yel                               35
1134    ..3      HW-30018-20       wire 18awg red/blk                               81
1135    ..3      HW-30018-21       wire 18awg red/brn                               76
1136    ..3      HW-30018-23       wire 18awg red/org                              149
1137    ..3      HW-30018-24       wire 18awg red/yel                               98
1138    ..3      HW-30018-29       wire 18awg red/wht                               32
1139    ..3      CW-30022-29       wire 22awg red/wht                              138
1140    .2       H-22974           plfd opto cable-50070                             1
1141    ..3      03-7520-2         tie wrap-nylon 3 7/8                             15
1142    ..3      5792-10817-05     5r mt/end 22/156                                  2
1143    ..3      5792-10817-09     9r mt/end 22/156                                  2
1144    ..3      5792-12116-09     9r mt/end 22/.100                                 2
1145    ..3      5792-13355-04     conn-female wire mnt 0.165 ctr                    4
1146    ..3      5794-13167-09     conn cover end or thru .100                       2
1147    ..3      5821-13771-02     socket-female minifit BMI                        16
1148    ..3      5823-12119-00     plz key-mt .100                                   2
1149    ..3      5823-10820-00     "plz key mt .156"""                               4
1150    ..3      RM-35-4           label color code pink                             1
1151    ..3      CW-30022-84       wire 22awg gry/yel                              109
1152    ..3      CW-30022-0        wire 22awg black                                147
1153    ..3      CW-30022-31       wire 22awg org/brn                               68
1154    ..3      CW-30022-32       wire 22awg org/red                               68
1155    ..3      CW-30022-30       wire 22awg org/blk                               68
1156    ..3      CW-30022-34       wire 22awg org/yel                               68
1157    ..3      CW-30022-35       wire 22awg org/grn                               68
1158    ..3      CW-30022-36       wire 22awg org/blu                               32
1159    ..3      CW-30022-37       wire 22awg org/vio                               21
1160    ..3      CW-30022-81       wire 22awg gry/brn                               71
1161    ..3      CW-30022-82       wire 22awg gry/red                               71
1162    ..3      CW-30022-83       wire 22awg gry/org                               71
1163    ..3      CW-30022-80       wire 22awg gry/blk                               71
1164    ..3      CW-30022-85       wire 22awg gry/grn                               71
1165    ..3      CW-30022-86       wire 22awg gry/blu                               32
1166    ..3      CW-30022-87       wire 22awg gry/vio                               20
1167    ..3      CW-30022-91       wire 22awg wht/brn                               31
1168    ..3      CW-30022-92       wire 22awg wht/red                               31
1169    ..3      CW-30022-51       wire 22awg grn/brn                               31
1170    ..3      CW-30022-52       wire 22awg grn/red                               31
1171    .2       01-8726-L-1       brkt plfd holder                                  1
1172    .2       01-10621-1        angled strike plate                               1
1173    .2       01-14003-1        brkt-plfd hanger                                  1
1174    .2       01-14003-2        brkt-plfd hanger                                  1
1175    .2       01-15124          brkt-retaining martian                            2
1176    .2       01-15125.4        brkt-cable connect                                1
1177    .2       01-15133.2        brkt-plfd support                                 2
1178    .2       01-15140          brkt-flap assy mounting                           1
1179    .2       01-15166          bridge                                            1
1180    .2       01-15201.1        rail-playfield side                               2
1181    .2       01-15219.1        brkt-playfield protector                          1
1182    .2       02-4425-2         post fastner 8-32/8-32x9/32top                    8
1183    .2       02-4425-1         post fastner 8-32/8-32x5/8top                     3
1184    .2       02-4660           post-single bumper #10                            2
1185    .2       02-5107           post-#8 adjusting                                 2
1186    .2       02-5222           post #10 8-32 top                                 5
1187    .2       02-5254           post 8-32 bumper                                  2
1188    .2       02-5295-08        post m-f 8-32x.50 zinc 1/4hex                     2
1189    .2       02-5295-14        post m-f 8-32x.88 zinc 1/4hex                     1
1190    .2       02-5295-20        post m-f 8-32x1.25 zinc 1/4hex                    3
1191    .2       02-5296-54        post m-m 8-32x3.38 znc 1/4hex                     2
1192    .2       03-10013.1        stop                                              2
1193    .2       03-7520-2         tie wrap-nylon 3 7/8                             17
1194    .2       03-7655-4         "clamp cable 1/4""dia"                            3
1195    .2       03-7933           "tie wrap-8 1/2"""                                3
1196    .2       03-7973           spacer-nylon                                      1
1197    .2       03-8063-4         sleeve lite-red                                   9
1198    .2       03-8247-9         post-#8 double star-trp red                       1
1199    .2       03-8254-9         cap-jet bumper-tr red                             1
1200    .2       03-8130-9         post double star tr-red                           2
1201    .2       03-8318-9         hood lite-dbl side stip tr-red                    2
1202    .2       03-8319-9         post #8 starred trp-red                          11
1203    .2       03-8365-9         post #8 trp-red                                   7
1204    .2       03-8633           mount-level                                       1
1205    .2       03-9357-9         post #8 x 1.06 trp-red                            4
1206    .2       03-9842           standoff-plfd plastic                             2
1207    .2       04-12486.2        ballguide #1                                      1
1208    .2       04-12477.1        brkt-arch handle                                  1
1209    .2       04-12599          ball guide #2                                     1
1210    .2       04-12600          ball guide #3                                     1
1211    .2       04-12598          popper hood                                       1
1212    .2       04-12608.1-1      plfd slide foot right                             1
1213    .2       04-12608.1-2      plfd slide foot left                              1
1214    .2       04-12740          ball stop passive                                 1
1215    ..3      04-12740.1        passive ball stop                                 1
1216    .2       04-12860-12       cntl refl lamp & cbl. 4 pin                       2
1217    ..3      04-10094          reflector & socket assy                           0
1218    ..3      5820-09078-00     pm1560 02-06-2101                                 0
1219    ..3      5791-10774-00     4P2004 03 06-2044                                 0
1220    ..3      5070-09054-00     diode-1N4004 1.0a                                 0
1221    .2       04-12862          stand up flasher w/connector                      1
1222    .2       10-128            spring-kicker                                     2
1223    .2       11-1463.1-2       wood rail-50070                                   1
1224    .2       12-7455           wireform-pound in                                 1
1225    .2       12-7447           ball guide #1                                     1
1226    .2       12-7448           ball guide #2                                     1
1227    .2       12-7449           wire-popper gate                                  1
1228    .2       12-7391-96        wireform 6                                        1
1229    .2       17-1141-4         "jumper wire 18ga cut 4"""                        8
1230    ..3      HW-30018-4        wire 18awg yellow                                32
1231    .2       20-9691           level                                             1
1232    .2       20-10110-5        flipper bat w/shaft-white                         2
1233    .2       20-10283          bearing-diverter                                  1
1234    .2       20-10293          rollover switch-reed                              3
1235    .2       23-6551           rubber bumper 3/4X5/8 yellow                      1
1236    .2       23-6552           rubber bumper sleeve-yellow                       4
1237    .2       23-6556           rubber bumper sleeve-black                        1
1238    .2       23-6641           rubber bumper .64 od black                        5
1239    .2       23-6694-1         "black rubber grommet 3/32"""                     2
1240    .2       23-6694-3         "black rubber ring 5/16"""                        4
1241    .2       23-6694-5         "black rubber ring 3/4"""                         1
1242    .2       23-6694-6         "black rubber ring 1"""                           1
1243    .2       23-6694-7         "black rubber ring 1 1/4"""                       1
1244    .2       23-6694-9         "black rubber ring 2"""                           1
1245    .2       23-6694-10        "black rubber ring 2 1/2"""                       2
1246    .2       23-6695           flipper ring-1 1/2 id black                       2
1247    .2       23-6768           alien figurine                                    2
1248    .2       23-6740           hose-eddy pcb                                     6
1249    .2       23-6716-1         "tubing-clear 1"""                                2
1250    .2       31-3437-10        playfield  plastic-50070                          1
1251    .2       31-3437-11        playfield  plastic-50070                          1
1252    .2       31-3437-13        playfield  plastic-50070                          1
1253    .2       31-3437-19        playfield  plastic-50070                          1
1254    .2       31-3437-22        playfield  plastic-50070                          1
1255    .2       31-3437-23A       playfield  plastic-50070                          1
1256    .2       31-3437-24        playfield  plastic-50070                          1
1257    .2       31-3437-25A       playfield  plastic-50070                          1
1258    .2       31-3437-26        playfield  plastic-50070                          1
1259    .2       4008-01005-28     ms 8-32X1-3/4 p-ph                                1
1260    .2       4008-01041-06     ms 8-32X3/8 p-flh                                 3
1261    .2       4008-01220-06     ms 8-32 x 3/8 pin head                            9
1262    .2       4008-01220-28     ms 8-32 X 1 3/4 pin head                         13
1263    .2       4008-01220-20     ms 8-32 x1 1/4 pin head                           4
1264    .2       4008-01220-36     ms 8-32 x 2 1/4 pin head                          2
1265    .2       4008-01227-04     ms 8-32x 1/4 pin head sems                        3
1266    .2       4008-01227-06     ms 8-32x 3/8 pin head sems                        4
1267    .2       4008-01227-12     ms 8-32x 3/4 pin head sems                        6
1268    .2       4008-01227-16     "ms 8-32x 1"" pin head sems"                      6
1269    .2       4008-01227-10     ms 8-32x 5/8 pin head sems                       22
1270    .2       4008-01227-08     ms 8-32x 1/2 pph-s                                4
1271    .2       4104-01020-08     sms #4X1/2 p-rh-ab                                4
1272    .2       4106-01114-08     tcs #6X1/2 pl-hwh t-17                            7
1273    .2       4106-01088-26     sms #6-20x1 5/8 sl-hwh                            1
1274    .2       4108-01219-08     sms #8 X 1/2 pin hd-ab spcl                     234
1275    .2       4108-01219-16     sms #8 x 1 pin hd-ab spcl                        18
1276    .2       4205-01041-14     ws #5X7/8 p-flh                                   6
1277    .2       4104-01042-10     sms #4 x 5/8 p-flh-a                              4
1278    .2       4106-01042-20     sms #6X1-1/4 p-flh-a                              7
1279    .2       4320-01124-24     blt 1/4-20 x 1 1/2 hh                             4
1280    .2       4506-01104-20     sss 6-32X1 1/4                                    9
1281    .2       4508-01106-14     "sss 8-32x 7/8"""                                14
1282    .2       4700-00005-00     fw .141X.437X.032                                 6
1283    .2       4700-00011-00     fw .172X.437X.059                                41
1284    .2       4700-00023-00     fw .203X.625X.059                                 2
1285    .2       4700-00030-00     fw .265X.500X.067                                 1
1286    .2       4700-00134-00     fw .187 x 1.00 x .05                              4
1287    .2       4701-00005-00     lw 1/4 split                                      2
1288    .2       4408-01119-01     nut 8-32 esna/ntm                                44
1289    .2       4410-01132-01     nut 10-32 esna/ntm                                7
1290    .2       4420-01119-01     nut 1/4-20 esma-nte                               4
1291    .2       4700-00021-00     fw .203X.437X.032                                15
1292    .2       4406-01119-00     nut 6-32 esn                                     15
1293    1        53370-CAB         country spfc cabinet-dbv rdy                      1
1294    .2       50070-CAB         revenge from mars cabinet                         1
1295    ..3      A-22966           power control box assy                            1
1296    ...4     04-12597          switch mtg plate                                  1
1297    ...4     01-15126          power control box                                 1
1298    ...4     5642-13935-00     switch-rocker dpst                                1
1299    ...4     5733-14734-00     fuse holder panel 5x20mm                          1
1300    ...4     5851-13867-00     outlet-iec conn 237 socket                        1
1301    ...4     03-8712           bushing-strain relf-heyco 1161                    1
1302    ...4     5016-12978-00     thermistor-8a 2.5R25                              1
1303    ...4     5822-13865-00     tie strip-3ckt 3mtg                               1
1304    ...4     01-12299          insulator-terminal strip                          1
1305    ...4     H-17543           hot jumper cable                                  1
1306    ....5    HW-60018-0        wire 18awg black                                  7
1307    ....5    5822-14713-02     term-quik con 22-18 tab .250                      1
1308    ...4     H-17545           jumper sw/fuse cable                              1
1309    ....5    HW-60018-0        wire 18awg black                                  7
1310    ....5    5822-14713-02     term-quik con 22-18 tab .250                      2
1311    ...4     H-17542           ground jumper cable                               1
1312    ....5    HW-60018-54       wire 18awg grn/yel                              5.5
1313    ....5    5822-10879-01     ring term- #8 22-18                               1
1314    ....5    5822-14713-02     term-quik con 22-18 tab .250                      1
1315    ...4     RM-21-06          #18 vinyl sleeving                                3
1316    ...4     4408-01128-00     nut 8-32 keps                                     2
1317    ...4     16-9667           label-convenience recp rating                     1
1318    ...4     H-22991           transformer programing cable                      1
1319    ....5    5792-13224-09     .084 cap housing 12 pin                           1
1320    ....5    5792-13224-12     .084 cap housing 12 pin                           1
1321    ....5    5821-13222-00     .084 female socket pin 14-20ga                   18
1322    ....5    HW-60018-0        wire 18awg black                                 22
1323    ....5    HW-60018-90       wire 18awg wht/blk                               11
1324    ....5    HW-60018-91       wire 18awg wht/brn                               22
1325    ....5    HW-60018-1        wire 18awg brown                                 11
1326    ....5    HW-60018-93       wire 18awg wht/org                               22
1327    ....5    HW-60018-3        wire 18awg orange                                11
1328    ...4     H-23005           3 conductor power assy                            1
1329    ...4     H-23014           hot interface jumper                              1
1330    ....5    HW-60018-0        wire 18awg black                                  7
1331    ....5    5821-13222-00     .084 female socket pin 14-20ga                    1
1332    ...4     H-23015           nuetral sw/1fc jumper                             1
1333    ....5    HW-60018-9        wire 18awg white                                  7
1334    ....5    5821-13222-00     .084 female socket pin 14-20ga                    1
1335    ....5    5822-14713-02     term-quik con 22-18 tab .250                      1
1336    ...4     4006-01003-06     ms 6-32X3/8 p-ph-s                                2
1337    ..3      A-22964-1         coin dr intrfce pcb & spacer                      1
1338    ...4     04-12492.1-1      coin dr interface pcb assy                        1
1339    ....5    5768-15943-05     pcb coin interface p2000                          0
1340    ....5    5070-09054-00     diode-1N4004 1.0a                                 0
1341    ....5    5791-13356-24     "header-PCB mnt, 0.165 center"                    0
1342    ....5    5791-13356-20     "header-PCB mnt, 0.165 center"                    0
1343    ....5    5791-13830-08     8h str sq pin .100 solid tab                      0
1344    ....5    5791-13830-07     7h str sq pin .100 solid tab                      0
1345    ....5    5791-13830-15     15h str sq pin .100 solid tab                     0
1346    ....5    5791-13830-12     12h str sq pin .100 solid tab                     0
1347    ....5    5791-13830-13     13h str sq pin .100 solid tab                     0
1348    ....5    5791-10862-04     4h str sq pin .156                                0
1349    ....5    5010-13517-00     res 15ohm 1/4w 5%                                 0
1350    ....5    5791-11000-10     10 sq pin st hdr .100 w/shroud                    0
1351    ....5    16-9802-125       lable pcb id                                      0
1352    .....6   RM-33-01          label 1-1/8x7/16-white                            0
1353    ....5    4104-01012-04     sms #4X1/4 p-ph-rlk                               0
1354    ....5    20-10707          e/m counter pcb mnt 12vdc                         0
1355    ...4     03-9255-2         spacer #8 x .343                                  4
1356    ...4     4108-01219-16     sms #8 x 1 pin hd-ab spcl                         4
1357    ..3      A-22976-1         side molding assy                                 2
1358    ...4     01-15129-1        molding-side-blk ridge                            2
1359    ...4     RM-22-08          double sided tape .032X7/8                       82
1360    ..3      A-17195-2         tilt switch assy w/cable                          1
1361    ...4     H-23019-4         general switch 2 pin cbl                          1
1362    ....5    03-7520-2         tie wrap-nylon 3 7/8                              1
1363    ....5    5791-13776-02     conn-plug minifit jr free hang                    1
1364    ....5    5820-13730-02     pin-mini fit jr 18-22awg                          2
1365    ....5    CW-30022-5        wire 22awg green                                  4
1366    ....5    CW-30022-9        wire 22awg white                                  4
1367    ...4     4405-01117-00     nut 5-40 hex                                      2
1368    ...4     01-96             brkt switch limit                                 1
1369    ...4     A-17238           tilt switch assy                                  1
1370    ....5    01-916-S          "spacer-tight 1/16"""                             2
1371    ....5    01-916-Q          "spacer- 1/64"""                                  2
1372    ....5    01-916-L          "spacer-loose 1/16"""                             3
1373    ....5    03-7007-6         "tubing-3/8"""                                    2
1374    ....5    A-8390            blade & contact assy                              1
1375    .....6   06-7B-20          blade-contact                                     1
1376    .....6   5860-09374-00     cp prec met 7309fs                                1
1377    ....5    A-5818            tilt wgt/blde assy                                1
1378    .....6   A-8391            blade & contact assy                              1
1379    ......7  06-8A-12          blade-contact                                     1
1380    ......7  5860-09374-00     cp prec met 7309fs                                1
1381    .....6   02-2042           weight-tilt                                       1
1382    ...4     01-1168           brkt bumper switch mounting                       1
1383    ...4     01-3670-1         plate-switch flat                                 1
1384    ...4     4005-01003-12     ms 5-40x3/4 p-phs                                 2
1385    ..3      A-22984           flipper button assy                               2
1386    ...4     04-12612          2 switch flipper assy                             2
1387    ....5    5791-12622-04     r/a sq pin hdr -.100 solid tab                    0
1388    ....5    5768-16061-02     pcb 2 switch flipper                              0
1389    ....5    5641-16194-00     key switch w/jumper                               0
1390    ...4     03-9993-32        feature button-opa torch red                      2
1391    ...4     03-9882-32        flppr btn housng-opq torch red                    2
1392    ...4     03-9881-32        flipper button-opq torch red                      2
1393    ...4     10-503            spring-button                                     2
1394    ...4     4108-01219-12     sms #8 X 3/4 pin hd-ab spcl                       8
1395    ..3      A-22996           lock brkt assy                                    1
1396    ...4     01-15148.3        latch lock down                                   1
1397    ...4     01-15149.4        handle lock down                                  1
1398    ...4     04-12624.2        brkt lock down                                    1
1399    ....5    04-12624.3        brkt-lock down                                    1
1400    ...4     04-12629          brkt-plfd hold down                               1
1401    ...4     10-561.1          spring torsion coin door                          1
1402    ...4     10-551            spring compression                                1
1403    ...4     4700-00051-00     fw .390X.625X.059                                 1
1404    ...4     20-8712-37        e ring 3/8 shaft                                  1
1405    ...4     20-10695-18       pem standoff .562                                 1
1406    ...4     16-8978-3         label-install 4 balls                             1
1407    ...4     16-10987          label-warning shock hazard                        1
1408    ..3      A-22998           cover driver board assy                           1
1409    ...4     01-15222          brkt-reinforcement                                1
1410    ...4     03-9990.2         cover driver board                                1
1411    ...4     12-7453           axle driver cover                                 2
1412    ...4     10-550            spring ext. cover                                 1
1413    ...4     03-9454           "cable tie 4"" long"                              2
1414    ...4     07-6688-19B       rivet 7/32x1/8 black oxide                        4
1415    ...4     4700-00003-00     fw .125X.281X.032                                 4
1416    ..3      A-23023           50070 unique parts bag                            1
1417    ...4     31-3437-3         playfield  plastic-50070                          1
1418    ...4     31-3437-4         playfield  plastic-50070                          1
1419    ...4     31-3437-7         playfield  plastic-50070                          1
1420    ...4     31-3437-8         playfield  plastic-50070                          1
1421    ...4     31-3437-10        playfield  plastic-50070                          1
1422    ...4     31-3437-11        playfield  plastic-50070                          1
1423    ..3      A-23024           c/dr interlock assy                               1
1424    ...4     01-15174          brkt-coin door interlock                          1
1425    ...4     5643-15190-00     switch-interlock dpdt                             1
1426    ..3      A-23299           driver brd backplate assy                         1
1427    ...4     01-15146          driver board-backplate                            1
1428    ...4     20-9534           standoff clip 1/2                                 2
1429    ...4     4008-01227-08     ms 8-32x 1/2 pph-s                                2
1430    ..3      A-23419           speaker & cable assy                              1
1431    ...4     5555-16059-00     "speaker: 6.5"" woofer"                           1
1432    ...4     H-23418           cabinet speaker sub cable                         1
1433    ....5    03-7520-2         tie wrap-nylon 3 7/8                              1
1434    ....5    5791-13776-02     conn-plug minifit jr free hang                    1
1435    ....5    5820-13730-02     pin-mini fit jr 18-22awg                          2
1436    ....5    HW-30018-40       wire 18awg yel/blk                                7
1437    ....5    HW-30018-50       wire 18awg grn/blk                                7
1438    ..3      H-22737-2.2       isolate ac/spkr cab cable                         1
1439    ...4     03-7520-2         tie wrap-nylon 3 7/8                              8
1440    ...4     5791-14003-02     conn-minifit jr. plug panl mtg                    1
1441    ...4     5792-10818-04     4r mt/end 18/156                                  1
1442    ...4     5820-13730-02     pin-mini fit jr 18-22awg                          2
1443    ...4     5792-13224-03     .084 cap housing 3 pin                            2
1444    ...4     5792-13355-02     conn-female wire mnt 0.165 ctr                    1
1445    ...4     5821-13771-02     socket-female minifit BMI                         2
1446    ...4     5822-10879-01     ring term- #8 22-18                               1
1447    ...4     5821-13222-00     .084 female socket pin 14-20ga                    5
1448    ...4     5823-10820-00     "plz key mt .156"""                               1
1449    ...4     HW-30018-9        wire 18awg white                                 12
1450    ...4     HW-30018-1        wire 18awg brown                                 24
1451    ...4     HW-30018-6        wire 18awg blue                                  24
1452    ...4     HW-30018-0        wire 18awg black                                 64
1453    ...4     HW-30018-54       wire 18awg grn/yel                               24
1454    ...4     HW-30018-50       wire 18awg grn/blk                               18
1455    ...4     HW-30018-40       wire 18awg yel/blk                               18
1456    ...4     16-9086           label-cable id                                    1
1457    ...4     5791-13164-00     9 pin matting connector                           1
1458    ...4     5820-13316-00     male pin-amp 170360-1                             4
1459    ...4     5792-13743-00     9 pin mating connector                            1
1460    ..3      H-22740-1.2       cabinet cable                                     1
1461    ...4     03-7520-2         tie wrap-nylon 3 7/8                             27
1462    ...4     5792-13355-16     conn-female wire mnt 0.165 ctr                    2
1463    ...4     5792-13355-18     conn-female wire mnt 0.165 ctr                    2
1464    ...4     5792-13355-20     conn-female wire mnt 0.165 ctr                    2
1465    ...4     5792-13355-22     conn-female wire mnt 0.165 ctr                    2
1466    ...4     RM-35-1           label-color code white                            1
1467    ...4     04-12742.1        cabinet wire & lug                                1
1468    ....5    5821-13771-02     socket-female minifit BMI                         0
1469    ....5    HW-30022-51       wire 22awg grn/brn                                0
1470    ....5    HW-30022-52       wire 22awg grn/red                                0
1471    ....5    HW-30022-53       wire 22awg grn/org                                0
1472    ....5    HW-30022-59       wire 22awg grn/wht                                0
1473    ....5    HW-30022-50       wire 22awg grn/blk                                0
1474    ....5    HW-30022-56       wire 22awg grn/blu                                0
1475    ....5    HW-30022-57       wire 22awg grn/vio                                0
1476    ....5    HW-30022-58       wire 22awg grn/gry                                0
1477    ....5    HW-30022-05       wire 22AWG blk/grn                                0
1478    ....5    HW-30022-06       wire 22awg blk/blu                                0
1479    ....5    HW-30022-84       wire 22awg gry/yel                                0
1480    ....5    HW-30022-91       wire 22awg wht/brn                                0
1481    ....5    HW-30022-92       wire 22awg wht/red                                0
1482    ....5    HW-30022-93       wire 22awg wht/org                                0
1483    ....5    HW-30022-94       wire 22awg wht/yel                                0
1484    ....5    HW-30022-95       wire 22awg wht/grn                                0
1485    ....5    HW-30022-96       wire 22awg wht/blu                                0
1486    ....5    HW-30022-97       wire 22awg wht/vio                                0
1487    ....5    HW-30022-98       wire 22awg wht/gry                                0
1488    ....5    HW-30022-08       wire 22awg blk/gry                                0
1489    ....5    HW-30022-07       wire 22awg blk/vio                                0
1490    ....5    HW-30022-0        wire 22awg black                                  0
1491    ....5    HW-30022-21       wire 22awg red/brn                                0
1492    ....5    HW-30022-20       wire 22awg red/blk                                0
1493    ....5    HW-30022-23       wire 22awg red/org                                0
1494    ....5    HW-30022-24       wire 22awg red/yel                                0
1495    ....5    HW-30022-25       wire 22awg red/brn                                0
1496    ....5    HW-30022-26       wire 22awg red/blu                                0
1497    ....5    HW-30022-27       wire 22awg red/vio                                0
1498    ....5    HW-30022-28       wire 22awg blk/gry                                0
1499    ....5    HW-30022-41       wire 22awg yel/brn                                0
1500    ....5    HW-30022-42       wire 22awg yel/red                                0
1501    ....5    HW-30022-43       wire 22awg yel/org                                0
1502    ....5    HW-30022-40       wire 22awg yel/blk                                0
1503    ....5    HW-30022-45       wire 22awg yel/grn                                0
1504    ....5    HW-30022-46       wire 22awg yel/blu                                0
1505    ....5    HW-30022-47       wire 22awg yel/vio                                0
1506    ....5    HW-30022-48       wire 22awg yel/gry                                0
1507    ....5    HW-30022-10       wire 22awg brn/blk                                0
1508    ....5    HW-30022-12       wire 22awg brn/red                                0
1509    ....5    HW-30022-13       wire 22awg brn/org                                0
1510    ....5    HW-30022-14       wire 22awg brn/yel                                0
1511    ....5    HW-30022-15       wire 22awg brn/grn                                0
1512    ....5    HW-30022-16       wire 22awg brn/blu                                0
